ID,tbv_m
61,9.521823
70,1.188284
113,0.09461832
142,2.934339
158,0.6495875
172,5.55527
180,8.072904
192,3.283941
202,3.204622
235,7.175554
256,-1.424104
281,10.08455
314,-7.312646
339,8.799117
340,2.044953
346,4.740612
368,7.002545
400,5.184848
421,4.744546
431,4.315053
465,1.134635
467,-1.843692
488,3.408671
492,2.360264
508,1.703883
535,-1.423848
538,3.450748
563,-0.6659111
611,6.661947
623,0.9345248
626,1.033968
713,5.28213
717,1.259105
732,4.979971
735,-2.7876
739,13.18933
793,4.851121
828,3.14547
829,11.72896
860,4.047314
868,9.018471
871,-4.413591
905,1.771058
916,-1.651718
919,4.029422
927,7.571892
938,2.450899
950,6.869058
954,1.86842
958,-0.1378877
989,2.973353
1000,3.558302
1019,6.525456
1020,-0.4908934
1052,3.330583
1146,-8.656578
1158,-6.263738
1164,-1.041969
1165,-3.188327
1193,-8.084957
1197,-10.08371
1277,-8.94712
1281,-2.349671
1282,-4.496679
1310,-1.809953
1312,-7.174686
1324,-1.227397
1339,-3.94398
1342,-7.03987
1404,-5.513506
1415,-7.104914
1458,1.714446
1471,-9.457826
1520,-9.456531
1550,1.607184
1555,-11.345
1561,-3.59534
1580,-11.07383
1588,-11.89388
1621,-3.833429
1642,-7.083445
1646,-7.669739
1663,-11.5172
1695,-7.675526
1713,-10.86742
1745,-12.65254
1753,-11.43017
1773,-12.05317
1831,-10.78396
1890,-3.739639
1914,-10.4819
1930,-8.463028
1943,-3.809393
1948,-7.128608
1977,-6.569434
1988,-5.202838
1995,-7.786681
2029,-6.792723
2043,-4.223098
2105,-9.986435
2119,-13.9302
2120,-10.57197
2123,-11.28196
2139,-9.22009
2157,-7.64008
2162,-8.354442
2168,-6.475865
2177,-4.302708
2186,-6.102483
2207,-6.146589
2209,-4.542698
2248,-10.93833
2260,-10.4872
2310,-2.398719
2318,-0.8689668
2329,-7.136731
2339,-4.926864
2372,-8.309523
2382,-12.67177
2413,-8.204562
2439,-3.677757
2450,-5.123162
2482,-12.27731
2493,-6.433834
2501,-7.76333
2507,-10.20743
2547,-8.66424
2550,-6.239931
2551,-3.342634
2580,0.2204532
2588,-7.838174
2656,-3.88034
2666,-3.14765
2712,-13.46585
2716,-5.87932
2725,-7.652191
2733,-6.730012
2745,-11.68918
2768,-4.147457
2770,-3.311374
2777,-3.015889
2789,-8.739344
2794,-2.257164
2802,-4.266856
2870,-8.222063
2883,-9.666209
2891,-1.756126
2905,-6.207223
2912,-2.187897
2915,-2.436161
2916,-4.479561
2946,-10.22274
2991,-12.07091
3046,-6.854752
3057,-6.438383
3128,-5.997177
3197,-9.55172
3237,-5.922531
3241,-3.466515
3255,-5.73989
3302,-3.665779
3303,0.2549638
3326,0.3448523
3332,-4.825455
3353,-1.442033
3396,-4.440107
3411,-0.02769736
3440,-11.93306
3483,-7.461289
3517,0.8073692
3533,-3.553157
3579,0.1156786
3599,-9.523217
3609,-5.264643
3611,0.2908204
3613,-1.811599
3628,1.976852
3632,-5.372605
3700,-8.18285
3739,0.3701006
3742,-5.339768
3773,-6.985958
3781,-5.198075
3809,-3.190541
3863,-0.1178817
3879,2.310424
3907,-7.44753
3952,-1.123434
3972,-6.947915
3997,-0.8628921
4016,-6.095938
4022,-5.3479
4034,-1.975336
4054,-2.006394
4085,-2.166826
4113,2.611033
4136,-8.391866
4145,-3.162637
4169,-0.5259161
4221,-7.38031
4241,-9.211997
4244,1.246118
4251,-1.140178
4266,-1.240184
4269,-3.85123
4284,-5.038267
4327,-4.832878
4334,-10.41086
4337,-8.365865
4348,-7.262042
4359,-6.359343
4391,-3.969027
4400,-3.344732
4406,5.915298
4432,-6.261833
4438,-4.632173
4449,-7.345331
4452,-4.597602
4476,-6.271411
4481,-7.73743
4501,-4.068367
4506,-16.59862
4525,-3.748469
4527,-8.320304
4561,-7.39899
4563,-5.47295
4596,-2.098593
4646,1.93551
4685,-9.266839
4686,-12.18492
4711,-6.297988
4718,-7.389919
4739,-0.5726541
4751,-3.58885
4755,-4.665257
4761,-8.408194
4791,0.01221656
4804,-6.25878
4825,2.169334
4872,-4.855283
4876,-7.58582
4879,3.76618
4883,-2.781928
4912,-4.259084
4936,-7.284271
4954,-1.292617
4956,-0.01411116
5022,-3.939365
5025,-6.533798
5030,-9.593841
5032,-6.355938
5045,-3.375572
5051,0.3453971
5054,-2.469043
5071,-4.523466
5128,-3.55033
5140,-5.331684
5159,-4.285581
5188,-7.821377
5192,-4.743074
5207,4.461075
5211,-2.730029
5212,-7.694186
5228,-4.368549
5232,-3.137337
5241,-2.133468
5244,-4.627635
5269,-11.75478
5317,0.6010572
5328,-3.689315
5334,-9.040044
5389,-0.1148775
5395,-5.290457
5403,-3.487654
5406,-2.553806
5416,-5.267349
5483,-1.440953
5519,-4.630754
5520,0.7670937
5525,-3.368792
5528,-9.363469
5596,-2.399916
5603,-2.736182
5617,-2.140569
5632,-7.291513
5654,0.252462
5661,-1.807705
5666,-0.6905378
5680,-4.982346
5709,-1.124726
5731,-0.9669167
5757,-3.575105
5823,-0.1680959
5834,-5.16555
5841,-5.379615
5888,-13.51161
5896,1.209255
5902,-11.06515
5913,-0.5253537
5937,-0.1014308
5988,-5.280071
6038,-4.942238
6061,5.147813
6062,1.67825
6112,-6.168524
6117,-5.181088
6133,-2.950123
6144,1.390865
6164,-2.481159
6182,-0.3406348
6208,-6.840446
6214,4.74712
6242,-2.323938
6287,-5.899175
6294,-12.39471
6303,-0.5323795
6315,-5.418485
6347,-3.377416
6350,-6.928672
6363,-1.928822
6374,-1.913763
6380,-5.007843
6384,-4.619475
6407,-0.8465043
6412,-11.56453
6415,-7.433287
6439,-4.490593
6467,-6.121012
6478,-2.013252
6485,0.833005
6490,-5.513169
6513,-2.980791
6521,-7.692211
6543,-6.287083
6628,-0.6995577
6635,-8.065521
6639,-0.3546105
6670,-2.721615
6681,-5.210491
6700,-4.420817
6704,-2.947115
6816,-0.9163035
6885,-10.70847
6896,-1.612823
6929,-2.880236
6940,-1.338996
6961,-0.6716606
6998,-8.566254
7010,-4.799322
7024,0.4337197
7027,-3.586659
7029,1.783498
7034,-4.455378
7046,0.3660627
7083,-0.8921284
7101,-3.970581
7128,-1.872899
7157,-0.4096839
7162,-7.772031
7190,-3.700008
7194,0.5673527
7201,-0.4383287
7205,-7.699373
7213,2.613705
7238,-2.925994
7258,-0.4443713
7282,0.4648107
7310,0.7101004
7347,-5.856614
7349,-5.117975
7366,0.4750151
7372,-4.791511
7378,0.469131
7384,4.960929
7399,3.617184
7424,3.480835
7426,1.273963
7474,-2.422548
7487,0.2766133
7491,4.408399
7500,-1.901347
7523,-3.823233
7538,-4.530641
7540,-2.638243
7551,-1.146577
7570,-1.016286
7593,-0.5042193
7689,0.2035401
7703,0.2462485
7705,-8.009925
7719,-1.584773
7729,-1.410427
7818,-0.3506215
7845,-2.622888
7855,2.173203
7869,-1.910618
7891,-3.221104
7893,-10.95189
7901,-2.520862
7902,-1.483124
7944,-4.242592
7994,0.9825941
7995,-0.965391
8007,-6.772793
8032,-5.91578
8057,2.352793
8116,-1.631824
8122,-6.190736
8146,-0.7913092
8160,3.92895
8170,-3.921548
8172,-4.67575
8176,-2.439514
8196,0.7956012
8221,-3.767111
8249,-1.485308
8271,-1.710072
8283,0.7813679
8284,2.603358
8292,-5.671007
8298,-5.213542
8351,-1.33067
8356,6.271206
8380,1.538127
8390,4.647764
8391,0.1547878
8438,-0.5585979
8442,-7.654185
8445,1.928123
8458,2.524446
