ID,tbv
8,20.44677
32,16.78869
38,9.278247
51,17.27598
67,20.73972
72,22.68244
86,13.27318
103,18.79601
124,9.226729
187,11.85241
276,18.22681
282,11.76664
339,20.40782
341,14.93583
358,16.2105
360,10.61108
402,21.99468
426,13.06361
441,13.83659
456,24.26821
464,9.635854
493,13.10665
502,19.29714
548,20.20845
589,12.00234
665,24.21081
668,21.9593
713,19.1193
719,17.09024
721,24.2391
736,15.19503
744,25.97228
747,21.20329
765,14.62983
785,13.2822
790,19.37191
816,11.79768
830,6.321813
880,8.958351
884,11.8151
895,16.02737
904,21.33331
973,21.52102
975,22.4867
999,12.58981
1022,18.46063
1031,19.96632
1043,18.57679
1061,14.49524
1070,12.61753
1082,16.65674
1095,19.66492
1096,20.34639
1097,13.4132
1099,19.37255
1114,8.566889
1122,6.219505
1130,8.400457
1133,17.00031
1143,10.42976
1147,3.728486
1163,12.65349
1181,2.819834
1212,11.35287
1229,12.07021
1235,8.719516
1241,5.227544
1250,8.240539
1309,11.24108
1312,6.805205
1340,3.721042
1345,12.48872
1357,5.365517
1371,4.649451
1377,-0.08182662
1393,11.17761
1415,8.244266
1420,9.744246
1446,10.08266
1459,4.347112
1461,8.276916
1510,5.150652
1522,6.106543
1534,5.493198
1539,2.961738
1544,0.8658732
1580,1.306988
1601,6.711391
1627,-5.145471
1640,12.80656
1658,8.482845
1665,5.240966
1682,5.146104
1695,8.739985
1698,12.08617
1716,4.705366
1740,10.01385
1774,12.85066
1792,15.84866
1821,7.311563
1850,6.524055
1871,2.90427
1875,0.6716833
1887,7.786435
1902,6.895051
1905,7.677533
1911,0.4041458
1936,4.520539
2029,8.896913
2041,10.94411
2057,5.060451
2068,2.68619
2069,1.611963
2079,-2.914105
2089,9.614681
2103,1.633325
2129,7.679392
2133,4.214692
2143,12.42104
2174,4.097161
2182,1.017704
2212,5.497353
2215,7.45676
2272,8.745254
2277,0.7778543
2295,1.842919
2308,11.97423
2325,1.046591
2337,-0.8703718
2342,4.229891
2353,6.136879
2377,7.085073
2416,5.007088
2430,15.38627
2472,14.92495
2504,4.74994
2507,4.68066
2517,9.670514
2578,8.558544
2582,9.440488
2625,3.881603
2651,8.860075
2669,9.047038
2689,8.059155
2714,3.024682
2770,13.8676
2797,7.216536
2806,6.492238
2824,15.02565
2855,11.98758
2886,-0.2270498
2938,3.421188
2962,1.73652
3024,5.352521
3051,-2.667511
3103,13.86572
3133,5.351623
3137,7.412895
3153,10.28748
3163,12.67993
3189,8.068843
3229,8.334743
3239,15.56673
3296,7.192137
3302,11.8511
3327,14.63449
3335,7.2296
3340,10.42965
3375,-2.343628
3397,14.31018
3403,12.4446
3410,4.051095
3431,10.14914
3445,9.334437
3447,11.05466
3475,5.701179
3525,3.497981
3529,7.814402
3538,1.742945
3564,10.031
3605,3.069884
3606,3.234573
3608,13.24502
3618,8.479129
3648,9.542809
3650,14.55183
3671,3.822739
3728,6.681018
3777,13.25156
3797,8.840713
3807,5.628491
3845,10.62603
3878,13.57346
3879,12.79763
3880,4.854343
3884,18.5496
3894,6.477905
3920,14.03976
3967,17.87122
3968,18.37064
3969,7.145043
3978,8.04762
3981,1.13203
3995,4.4002
4021,7.601158
4030,19.34947
4061,2.604824
4062,7.291846
4083,6.031753
4100,12.59155
4103,14.77248
4145,10.09872
4149,11.76334
4153,6.407684
4155,8.676682
4177,15.65639
4182,13.66709
4221,9.094792
4223,8.778224
4246,8.461391
4285,22.14667
4298,8.320749
4307,2.811591
4366,6.539397
4412,8.493067
4430,10.50431
4444,-1.618949
4462,2.89719
4477,6.027456
4497,-0.6476982
4503,6.771476
4514,12.47614
4533,13.45332
4536,9.994804
4568,10.15571
4576,2.160177
4582,11.88068
4588,13.9945
4619,10.09644
4657,11.7607
4686,2.095848
4690,4.109454
4756,6.56561
4788,12.68914
4820,11.89981
4834,1.622958
4865,13.61078
4878,5.558783
4883,6.073955
4906,12.92433
4927,8.965035
4942,19.05549
5001,9.74131
5074,8.555252
5082,14.2935
5108,11.43867
5121,7.054009
5122,3.748699
5131,12.7716
5221,11.44071
5274,10.6056
5286,9.526664
5302,2.802891
5335,18.6335
5361,17.04077
5375,5.812434
5381,9.333209
5417,12.28155
5429,13.23795
5432,18.36334
5457,13.26088
5472,12.08413
5510,20.76387
5515,13.55352
5517,6.024585
5540,27.75583
5624,14.70699
5643,22.80769
5659,-2.056215
5674,9.63002
5685,14.94686
5689,10.33258
5736,16.54252
5745,25.60426
5749,14.31406
5750,14.05221
5827,19.29376
5896,21.79213
5942,14.44887
5945,12.54352
5947,15.68704
5952,15.61148
5957,5.958019
5982,7.330632
6000,11.02251
6017,15.13256
6022,10.7742
6091,16.94582
6164,18.28008
6168,5.520573
6183,11.57483
6207,12.95836
6220,8.130083
6240,19.39204
6241,17.58076
